zipcode;City;sqft_price
98178;Seattle;401
98125;Seattle;486
98028;Kenmore;495
98136;Seattle;534
98074;Sammamish;633
98053;Redmond;625
98003;Federal Way;330
98198;Seattle;375
98146;Seattle;396
98038;Maple Valley;370
98007;Bellevue;529
98115;Seattle;569
98107;Seattle;599
98126;Seattle;480
98019;Duvall;433
98103;Seattle;618
98002;Auburn;338
98133;Seattle;452
98040;Mercer Island;824
98092;Auburn;314
98030;Kent;327
98119;Seattle;599
98112;Seattle;699
98052;Redmond;620
98027;Issaquah;500
98117;Seattle;562
98058;Renton;378
98001;Auburn;319
98056;Renton;469
98166;Seattle;436
98023;Federal Way;318
98070;Vashon;530
98148;Seattle;397
98105;Seattle;581
98042;Kent;330
98008;Bellevue;670
98059;Renton;455
98122;Seattle;583
98144;Seattle;529
98004;Bellevue;955
98005;Bellevue;650
98034;Kirkland;550
98075;Sammamish;572
98116;Seattle;616
98010;Black Diamond;341
98118;Seattle;474
98199;Seattle;553
98032;Kent;350
98045;North Bend;502
98102;Seattle;656
98077;Woodinville;552
98108;Seattle;434
98168;Seattle;356
98177;Seattle;524
98065;Snoqualmie;466
98029;Issaquah;574
98006;Bellevue;640
98109;Seattle;613
98022;Enumclaw;401
98033;Kirkland;833
98155;Seattle;462
98024;Fall City;537
98011;Bothell;500
98031;Kent;349
98106;Seattle;440
98072;Woodinville;618
98188;Seattle;329
98014;Carnation;506
98055;Renton;362
98039;Medina;1500
